, gaze point, , gaze point validity, , pupil size, , pupil validity
time, X, Y, L, R, L, R, L, R
2329, nan, nan, 0, 0, nan, nan, 0, 0
2360, nan, nan, 0, 0, nan, nan, 0, 0
2376, nan, nan, 0, 0, nan, nan, 0, 0
2392, nan, nan, 0, 0, nan, nan, 0, 0
2407, nan, nan, 0, 0, nan, nan, 0, 0
2423, nan, nan, 0, 0, nan, nan, 0, 0
2454, nan, nan, 0, 0, nan, nan, 0, 0
2470, nan, nan, 0, 0, nan, nan, 0, 0
2485, nan, nan, 0, 0, nan, nan, 0, 0
2501, nan, nan, 0, 0, nan, nan, 0, 0
2517, nan, nan, 0, 0, nan, nan, 0, 0
2532, nan, nan, 0, 0, nan, nan, 0, 0
2548, nan, nan, 0, 0, nan, nan, 0, 0
2563, nan, nan, 0, 0, nan, nan, 0, 0
2579, nan, nan, 0, 0, nan, nan, 0, 0
2595, nan, nan, 0, 0, nan, nan, 0, 0
2610, nan, nan, 0, 0, nan, nan, 0, 0
2626, nan, nan, 0, 0, nan, nan, 0, 0
2642, nan, nan, 0, 0, nan, nan, 0, 0
2657, nan, nan, 0, 0, nan, nan, 0, 0
2688, nan, nan, 0, 0, nan, nan, 0, 0
2704, nan, nan, 0, 0, nan, nan, 0, 0
2720, nan, nan, 0, 0, nan, nan, 0, 0
2735, nan, nan, 0, 0, nan, nan, 0, 0
2751, nan, nan, 0, 0, nan, nan, 0, 0
2767, nan, nan, 0, 0, nan, nan, 0, 0
2782, nan, nan, 0, 0, nan, nan, 0, 0
2798, nan, nan, 0, 0, nan, nan, 0, 0
2813, nan, nan, 0, 0, nan, nan, 0, 0
2829, nan, nan, 0, 0, nan, nan, 0, 0
2845, nan, nan, 0, 0, nan, nan, 0, 0
2860, nan, nan, 0, 0, nan, nan, 0, 0
2892, nan, nan, 0, 0, nan, nan, 0, 0
2892, nan, nan, 0, 0, nan, nan, 0, 0
2923, nan, nan, 0, 0, nan, nan, 0, 0
2938, nan, nan, 0, 0, nan, nan, 0, 0
2954, nan, nan, 0, 0, nan, nan, 0, 0
2970, nan, nan, 0, 0, nan, nan, 0, 0
2985, nan, nan, 0, 0, nan, nan, 0, 0
3001, nan, nan, 0, 0, nan, nan, 0, 0
3017, nan, nan, 0, 0, nan, nan, 0, 0
3032, nan, nan, 0, 0, nan, nan, 0, 0
3048, nan, nan, 0, 0, nan, nan, 0, 0
3063, nan, nan, 0, 0, nan, nan, 0, 0
3079, nan, nan, 0, 0, nan, nan, 0, 0
3095, nan, nan, 0, 0, nan, nan, 0, 0
3110, nan, nan, 0, 0, nan, nan, 0, 0
3126, nan, nan, 0, 0, nan, nan, 0, 0
3157, nan, nan, 0, 0, nan, nan, 0, 0
3173, nan, nan, 0, 0, nan, nan, 0, 0
3188, nan, nan, 0, 0, nan, nan, 0, 0
3204, nan, nan, 0, 0, nan, nan, 0, 0
3220, nan, nan, 0, 0, nan, nan, 0, 0
3235, nan, nan, 0, 0, nan, nan, 0, 0
3251, nan, nan, 0, 0, nan, nan, 0, 0
3267, nan, nan, 0, 0, nan, nan, 0, 0
3282, nan, nan, 0, 0, nan, nan, 0, 0
3298, nan, nan, 0, 0, nan, nan, 0, 0
3313, nan, nan, 0, 0, nan, nan, 0, 0
3329, nan, nan, 0, 0, nan, nan, 0, 0
3345, nan, nan, 0, 0, nan, nan, 0, 0
3360, nan, nan, 0, 0, nan, nan, 0, 0
3376, nan, nan, 0, 0, nan, nan, 0, 0
3392, nan, nan, 0, 0, nan, nan, 0, 0
3423, nan, nan, 0, 0, nan, nan, 0, 0
3438, nan, nan, 0, 0, nan, nan, 0, 0
3454, nan, nan, 0, 0, nan, nan, 0, 0
3470, nan, nan, 0, 0, nan, nan, 0, 0
3485, nan, nan, 0, 0, nan, nan, 0, 0
3501, nan, nan, 0, 0, nan, nan, 0, 0
3517, nan, nan, 0, 0, nan, nan, 0, 0
3532, nan, nan, 0, 0, nan, nan, 0, 0
3548, nan, nan, 0, 0, nan, nan, 0, 0
3563, nan, nan, 0, 0, nan, nan, 0, 0
3579, nan, nan, 0, 0, nan, nan, 0, 0
3595, nan, nan, 0, 0, nan, nan, 0, 0
3610, nan, nan, 0, 0, nan, nan, 0, 0
3626, nan, nan, 0, 0, nan, nan, 0, 0
3657, nan, nan, 0, 0, nan, nan, 0, 0
3657, nan, nan, 0, 0, nan, nan, 0, 0
3688, nan, nan, 0, 0, nan, nan, 0, 0
3704, nan, nan, 0, 0, nan, nan, 0, 0
3720, nan, nan, 0, 0, nan, nan, 0, 0
3735, nan, nan, 0, 0, nan, nan, 0, 0
3751, nan, nan, 0, 0, nan, nan, 0, 0
3767, nan, nan, 0, 0, nan, nan, 0, 0
3782, nan, nan, 0, 0, nan, nan, 0, 0
3798, nan, nan, 0, 0, nan, nan, 0, 0
3813, nan, nan, 0, 0, nan, nan, 0, 0
3829, nan, nan, 0, 0, nan, nan, 0, 0
3845, nan, nan, 0, 0, nan, nan, 0, 0
3869, nan, nan, 0, 0, nan, nan, 0, 0
3879, nan, nan, 0, 0, nan, nan, 0, 0
3895, nan, nan, 0, 0, nan, nan, 0, 0
3911, nan, nan, 0, 0, nan, nan, 0, 0
3926, nan, nan, 0, 0, nan, nan, 0, 0
3942, nan, nan, 0, 0, nan, nan, 0, 0
3958, nan, nan, 0, 0, nan, nan, 0, 0
3989, nan, nan, 0, 0, nan, nan, 0, 0
