time, event, related key, current phrase, current input
2542, Key Selected, D, Find a dwell time which suits you, 
2577, Key Deselected, D, Find a dwell time which suits you, 
2581, Key Selected, T, Find a dwell time which suits you, 
2594, Key Deselected, T, Find a dwell time which suits you, 
2598, Key Selected, R, Find a dwell time which suits you, 
2677, Key Deselected, R, Find a dwell time which suits you, 
2693, Key Deselected, R, Find a dwell time which suits you, 
2709, Key Deselected, R, Find a dwell time which suits you, 
2725, Key Deselected, R, Find a dwell time which suits you, 
2741, Key Deselected, R, Find a dwell time which suits you, 
2773, Key Deselected, R, Find a dwell time which suits you, 
2790, Key Deselected, R, Find a dwell time which suits you, 
2807, Key Deselected, R, Find a dwell time which suits you, 
2823, Key Deselected, R, Find a dwell time which suits you, 
2840, Key Deselected, R, Find a dwell time which suits you, 
2857, Key Deselected, R, Find a dwell time which suits you, 
2873, Key Deselected, R, Find a dwell time which suits you, 
2891, Key Deselected, R, Find a dwell time which suits you, 
2906, Key Deselected, R, Find a dwell time which suits you, 
2923, Key Deselected, R, Find a dwell time which suits you, 
2940, Key Deselected, R, Find a dwell time which suits you, 
2957, Key Deselected, R, Find a dwell time which suits you, 
2973, Key Deselected, R, Find a dwell time which suits you, 
2990, Key Deselected, R, Find a dwell time which suits you, 
3007, Key Deselected, R, Find a dwell time which suits you, 
3025, Key Deselected, R, Find a dwell time which suits you, 
3042, Key Deselected, R, Find a dwell time which suits you, 
3059, Key Deselected, R, Find a dwell time which suits you, 
3075, Key Deselected, R, Find a dwell time which suits you, 
3092, Key Deselected, R, Find a dwell time which suits you, 
3109, Key Deselected, R, Find a dwell time which suits you, 
3126, Key Deselected, R, Find a dwell time which suits you, 
3142, Key Deselected, R, Find a dwell time which suits you, 
3159, Key Deselected, R, Find a dwell time which suits you, 
3176, Key Deselected, R, Find a dwell time which suits you, 
3192, Key Deselected, R, Find a dwell time which suits you, 
3209, Key Deselected, R, Find a dwell time which suits you, 
3226, Key Deselected, R, Find a dwell time which suits you, 
3243, Key Deselected, R, Find a dwell time which suits you, 
3257, Key Deselected, R, Find a dwell time which suits you, 
3272, Key Deselected, R, Find a dwell time which suits you, 
3289, Key Deselected, R, Find a dwell time which suits you, 
3304, Key Deselected, R, Find a dwell time which suits you, 
3321, Key Deselected, R, Find a dwell time which suits you, 
3338, Key Deselected, R, Find a dwell time which suits you, 
3355, Key Deselected, R, Find a dwell time which suits you, 
3372, Key Deselected, R, Find a dwell time which suits you, 
3388, Key Deselected, R, Find a dwell time which suits you, 
3405, Key Deselected, R, Find a dwell time which suits you, 
3422, Key Deselected, R, Find a dwell time which suits you, 
3438, Key Deselected, R, Find a dwell time which suits you, 
3454, Key Deselected, R, Find a dwell time which suits you, 
3471, Key Deselected, R, Find a dwell time which suits you, 
3488, Key Deselected, R, Find a dwell time which suits you, 
3504, Key Deselected, R, Find a dwell time which suits you, 
3520, Key Deselected, R, Find a dwell time which suits you, 
3537, Key Deselected, R, Find a dwell time which suits you, 
3555, Key Deselected, R, Find a dwell time which suits you, 
